Facility Name,Site Address,Last Inspection Date,Colour Posting,url_entity_partial,category,Type,Legislation,Status,Offence Date,Description,Status Updated,url_entity_full
Stobie's,484 Richmond St  London ON N6A 3E4,05/06/2024,,location.href = '/Portal/Facility/Details/38390d66-368a-4ee8-a959-ba4015494821' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/38390d66-368a-4ee8-a959-ba4015494821
Nana's Pizza,461 Dundas St  London ON N6B 1W1,05/06/2024,,location.href = '/Portal/Facility/Details/308fdd8c-82f9-4462-b39c-21429a6b496b' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/308fdd8c-82f9-4462-b39c-21429a6b496b
Rick's Sideline Concessions,651 Boler Rd  London ON N6K 4M7,05/06/2024,,location.href = '/Portal/Facility/Details/4e264535-ad8b-40d0-9a38-3650aea6c600' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/4e264535-ad8b-40d0-9a38-3650aea6c600
Superking Supermarket,785 Wonderland Rd S  London ON N6K 1M6,05/06/2024,,location.href = '/Portal/Facility/Details/8d15e7be-31fe-41e5-b38a-6f6b8d378ff1' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/8d15e7be-31fe-41e5-b38a-6f6b8d378ff1
Palasad South London,141 Pine Valley Blvd  London ON N6K 3T6,05/06/2024,,location.href = '/Portal/Facility/Details/90e56128-41d3-4698-9915-6c071dd79598' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/90e56128-41d3-4698-9915-6c071dd79598
Booster Juice,671 Wonderland Rd N  London ON N6H 0H9,05/06/2024,,location.href = '/Portal/Facility/Details/c529d2fe-a754-403d-af17-9af1701d82d6' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/c529d2fe-a754-403d-af17-9af1701d82d6
Viet-Thai Plus,5-1070 Wellington Rd. S  London ON N6E 3V8,05/06/2024,,location.href = '/Portal/Facility/Details/7be15af1-a6da-468a-a304-4d9beb3c2428' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/7be15af1-a6da-468a-a304-4d9beb3c2428
BGC London - Cafe,184 Horton St  London ON N6K 1K8,05/06/2024,,location.href = '/Portal/Facility/Details/a4903c77-148c-4033-9c05-dd5265b2ceb3' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/a4903c77-148c-4033-9c05-dd5265b2ceb3
Crumlin Creek Golf Club Inc / Frick's Famous Burgers,1720 Crumlin Sideroad  London ON N5V 1S2,05/06/2024,,location.href = '/Portal/Facility/Details/4b11dece-a73d-4fdd-bcc4-331e0c8ca570' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/4b11dece-a73d-4fdd-bcc4-331e0c8ca570
State & Main,671 Wonderland Rd N  London ON N6H 0H9,05/06/2024,,location.href = '/Portal/Facility/Details/1049f13d-1dc8-42e6-8b6d-d90b0cb9585c' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/1049f13d-1dc8-42e6-8b6d-d90b0cb9585c
La Noisette Bakery Inc/ Thepizzaclub.ca Inc,3-3051 Osler St  London ON N5V 3K2,05/06/2024,,location.href = '/Portal/Facility/Details/99928223-d635-43a3-8d35-7b8505dd8098' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/99928223-d635-43a3-8d35-7b8505dd8098
Subway,543 Dundas St  London ON N6B 1X1,05/03/2024,,location.href = '/Portal/Facility/Details/8fe00db1-a056-4e66-a3d5-1344662537e6' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/8fe00db1-a056-4e66-a3d5-1344662537e6
Amogham Restaurant,644 Richmond St  London ON N6A 3G6,05/03/2024,,location.href = '/Portal/Facility/Details/43e7cedf-4dd8-48ad-8adf-dbc0bb6b00e6' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/43e7cedf-4dd8-48ad-8adf-dbc0bb6b00e6
Pizza Rounds,422 Waterloo St  London ON N6B 2P2,05/03/2024,,location.href = '/Portal/Facility/Details/7fe71606-b374-4863-bcd9-f7abce66d173' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/7fe71606-b374-4863-bcd9-f7abce66d173
The Take Out Fish & Chips,1635 Oxford St E  London ON N5V 2Z5,05/03/2024,,location.href = '/Portal/Facility/Details/0cc56215-a07b-4649-911f-798f7613b1ab' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/0cc56215-a07b-4649-911f-798f7613b1ab
KFC,1275 Highbury Ave  London ON N5Y 1N8,05/03/2024,,location.href = '/Portal/Facility/Details/13bb1ae3-8140-415f-b6e7-472cdbc82034' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/13bb1ae3-8140-415f-b6e7-472cdbc82034
Nick @ Trax Bar & Grill Ltd,485 Horton St E  London ON N6B 1M4,05/03/2024,,location.href = '/Portal/Facility/Details/d2d2d8bb-e73d-44f7-81ea-97f5984c53bf' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/d2d2d8bb-e73d-44f7-81ea-97f5984c53bf
California Pizza,1A-1599 Adelaide St N  London ON N5X 4E8,05/03/2024,,location.href = '/Portal/Facility/Details/8159700e-92b8-440a-8e8c-a1adb6a656c9' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/8159700e-92b8-440a-8e8c-a1adb6a656c9
Rob's Wicked Chicken & Wedges,466 Horton St E  London ON N6B 1M3,05/03/2024,,location.href = '/Portal/Facility/Details/791bed7c-c53e-4a74-84b7-fe6442babc81' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/791bed7c-c53e-4a74-84b7-fe6442babc81
Wellington Street Sportsmen's Club,2290 Slo Pitch Rd  Dorchester ON N0L 1G3,05/02/2024,,location.href = '/Portal/Facility/Details/722aa222-7224-4078-9fc1-5aacabcf5d48' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/722aa222-7224-4078-9fc1-5aacabcf5d48
Marshalls Pasta Mill & Market Inc,580 Adelaide St N  London ON N6B 3J8,05/02/2024,,location.href = '/Portal/Facility/Details/700be105-ee7c-4671-b988-9519be461a7c' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/700be105-ee7c-4671-b988-9519be461a7c
Brannigan's Fish & Chips,Mobile,05/02/2024,,location.href = '/Portal/Facility/Details/370c110d-36c9-48b9-9a8a-de5cf6d012bd' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/370c110d-36c9-48b9-9a8a-de5cf6d012bd
Sarah's Mobile Kitchen -217,Mobile,05/02/2024,,location.href = '/Portal/Facility/Details/de4299f5-b1c9-415a-94ef-915ceb2ba7bf' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/de4299f5-b1c9-415a-94ef-915ceb2ba7bf
Growing Chefs! Ontario,460 King St  London ON N6B 1S9,05/02/2024,,location.href = '/Portal/Facility/Details/392b3851-e38b-4f9e-b863-f3ece042dfac' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/392b3851-e38b-4f9e-b863-f3ece042dfac
London Food Co-op,621 Princess Ave  London ON N5W 3L9,05/02/2024,,location.href = '/Portal/Facility/Details/68299975-9063-4dc4-9d2c-4f46040a22e5' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/68299975-9063-4dc4-9d2c-4f46040a22e5
Taco Bell,1040 Wonderland Rd S  London ON N6K 3S4,05/02/2024,,location.href = '/Portal/Facility/Details/e4bceed7-0234-4438-b30f-f5eeae1cee1b' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/e4bceed7-0234-4438-b30f-f5eeae1cee1b
Mamasim Meal Support Services,884 Adelaide St N  London ON N5Y 2M3,05/02/2024,,location.href = '/Portal/Facility/Details/773cfdf0-9d95-401f-be29-26ad6d0c35db' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/773cfdf0-9d95-401f-be29-26ad6d0c35db
Grace Restaurant,215 Dundas St  London ON N6A 1G4,05/02/2024,,location.href = '/Portal/Facility/Details/69d499ca-086e-4d3b-8bc4-047f9f1921b0' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/69d499ca-086e-4d3b-8bc4-047f9f1921b0
Fortune House,4-561 Southdale Rd E  London ON N6E 3M7,05/02/2024,,location.href = '/Portal/Facility/Details/50c83bc1-188c-4a5d-8fd4-e8d305771e10' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/50c83bc1-188c-4a5d-8fd4-e8d305771e10
Popeyes Louisiana Kitchen,395 Clarke Rd  London ON N5W 5G5,05/02/2024,,location.href = '/Portal/Facility/Details/2e50c7a5-7016-4d00-9198-fca2ace85d22' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/2e50c7a5-7016-4d00-9198-fca2ace85d22
Grace Bodega,211 Dundas St  London ON N6A 1G4,05/02/2024,,location.href = '/Portal/Facility/Details/df6fbf5c-25e2-4cc2-ad41-32825863f322' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/df6fbf5c-25e2-4cc2-ad41-32825863f322
Real Canadian Superstore,825 Oxford St E  London ON N5Y 3J8,05/02/2024,,location.href = '/Portal/Facility/Details/63e285af-54bd-431b-a437-c2ca5b4b7dbb' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/63e285af-54bd-431b-a437-c2ca5b4b7dbb
Popeyes Louisiana Kitchen,181 Dundas St  London ON N6A 1G4,05/02/2024,,location.href = '/Portal/Facility/Details/19fc25e4-33e2-4e00-9296-68282a21ee8c' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/19fc25e4-33e2-4e00-9296-68282a21ee8c
Rico's Pizzeria,15-972 Hamilton Rd  London ON N5W 1A3,05/02/2024,,location.href = '/Portal/Facility/Details/43c3684d-a75f-407a-a1eb-86d3a72cb08d' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/43c3684d-a75f-407a-a1eb-86d3a72cb08d
Hoskin Feed and Country Store,171 Railway Ave  Komoka ON N0L 1R0,05/02/2024,,location.href = '/Portal/Facility/Details/a61ffb88-d966-4600-811a-50874709bca7' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/a61ffb88-d966-4600-811a-50874709bca7
Pate's Pantry Variety,131 Waterloo St  London ON N6B 2M7,05/02/2024,,location.href = '/Portal/Facility/Details/d8054596-11f7-4650-975c-0e802487d1c9' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/d8054596-11f7-4650-975c-0e802487d1c9
Market 479,3-2190 Dundas St  London ON N5V 1R2,05/02/2024,,location.href = '/Portal/Facility/Details/f651adce-f48a-4ddf-801b-28464eef60ed' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/f651adce-f48a-4ddf-801b-28464eef60ed
Hickory Ridge Golf & Country Club,3425 Woodhull Rd  London ON N6P 1P2,05/02/2024,,location.href = '/Portal/Facility/Details/57a553e7-651d-4e5b-a8e9-a8617b16b7e1' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/57a553e7-651d-4e5b-a8e9-a8617b16b7e1
Metro - Bento Sushi,395 Wellington Road  London ON N6C 5Z6,05/02/2024,,location.href = '/Portal/Facility/Details/fc566305-73e9-4605-ae03-d7100de98b4d' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/fc566305-73e9-4605-ae03-d7100de98b4d
Metro,395 Wellington Rd  London ON N6C 5Z6,05/02/2024,,location.href = '/Portal/Facility/Details/a6d9240a-8daf-489e-bc48-7378022213c7' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/a6d9240a-8daf-489e-bc48-7378022213c7
Subway,4-2295 Wharncliffe Rd S  London ON N6P 1S7,05/01/2024,,location.href = '/Portal/Facility/Details/2ef69f86-820f-4975-aebd-17e5c8c18820' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/2ef69f86-820f-4975-aebd-17e5c8c18820
King Edward Restaurant,13239 Ilderton Rd  Ilderton ON N0M 2A0,05/01/2024,,location.href = '/Portal/Facility/Details/eb703b79-6871-4091-bd1b-a05773395034' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/eb703b79-6871-4091-bd1b-a05773395034
Pizza2Go,1920 Dundas St  London ON N5V 3P1,05/01/2024,,location.href = '/Portal/Facility/Details/01e0be97-bd2a-4b22-887d-06ee661e8a2d' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/01e0be97-bd2a-4b22-887d-06ee661e8a2d
Caribbean Stove Pickup,205 Wellington St  London ON N6B 2K9,05/01/2024,,location.href = '/Portal/Facility/Details/7ca479c9-e35d-4e6c-93f0-24928eed1831' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/7ca479c9-e35d-4e6c-93f0-24928eed1831
Brennan Baking Co,13246 Medway Rd  Arva ON N0M 1C0,05/01/2024,,location.href = '/Portal/Facility/Details/04fee467-7574-4066-a0e6-a4889baa03ca' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/04fee467-7574-4066-a0e6-a4889baa03ca
Slo Pitch City Inc,2156 Slo Pitch Rd  Putnam ON N0L 2B0,05/01/2024,,location.href = '/Portal/Facility/Details/24b2844b-8f7e-4b49-8332-985fd9faa6e1' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/24b2844b-8f7e-4b49-8332-985fd9faa6e1
Popular Pizza,8-660 Richmond St  London ON N6A 3G8,04/30/2024,,location.href = '/Portal/Facility/Details/a37b9c56-211d-47bb-86d0-ad06388d5bc5' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/a37b9c56-211d-47bb-86d0-ad06388d5bc5
Amazing Bakery,4-1885 Blue Heron Dr  London ON N6H 5L9,04/30/2024,,location.href = '/Portal/Facility/Details/a6d77476-3d7e-4dd3-813d-47dbc1be7912' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/a6d77476-3d7e-4dd3-813d-47dbc1be7912
Katana Kafe,2530 Blair Blvd  London ON N5V 3Z9,04/30/2024,,location.href = '/Portal/Facility/Details/b4b047d3-b995-4278-bf57-74a65f7c3349' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/b4b047d3-b995-4278-bf57-74a65f7c3349
DSpot Dessert Cafe,5-1970 Hyde park Rd  London ON N6H 5L9,04/30/2024,,location.href = '/Portal/Facility/Details/963be3a2-d049-427b-b1a1-877e1f660613' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/963be3a2-d049-427b-b1a1-877e1f660613
Pizza Pizza,543 Dundas St  London ON N6B 1X1,04/30/2024,,location.href = '/Portal/Facility/Details/5fc761ad-6d5a-4e47-8ab2-af4743bbff5c' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/5fc761ad-6d5a-4e47-8ab2-af4743bbff5c
Red Swan Pizza,4-1970 Hyde Park Rd  London ON N6H 5L9,04/30/2024,,location.href = '/Portal/Facility/Details/f7265d59-7187-410f-843b-8a43589fced3' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/f7265d59-7187-410f-843b-8a43589fced3
Enat Ethiopian Restaurant,223 Wellington St  London ON ON N6B 1L6,04/30/2024,,location.href = '/Portal/Facility/Details/e4ca5fbf-1100-42d6-85b0-5f231a90b237' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/e4ca5fbf-1100-42d6-85b0-5f231a90b237
Wortley Village Pharmasave,190 Wortley Rd  London ON N6C 4Y7,04/30/2024,,location.href = '/Portal/Facility/Details/6fda6874-5150-41c4-b337-f75bcf9bcc34' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/6fda6874-5150-41c4-b337-f75bcf9bcc34
Donnybrook Hall Concession,4939 Hamilton Rd  Dorchester ON N0L 1G0,04/30/2024,,location.href = '/Portal/Facility/Details/9ed6c788-a0fe-43e0-9acc-b4ee508e21b7' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/9ed6c788-a0fe-43e0-9acc-b4ee508e21b7
Harvey's,991 Wellington Rd S  London ON N6E 1O5,04/30/2024,,location.href = '/Portal/Facility/Details/bfe77434-a7ac-47f7-9e7c-8dc1888f12af' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/bfe77434-a7ac-47f7-9e7c-8dc1888f12af
Costco Wholesale,693 Wonderland Rd N  London ON N6H 4L1,04/30/2024,,location.href = '/Portal/Facility/Details/933ca4d3-05c6-4dc6-b16f-6b26bff1f2c1' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/933ca4d3-05c6-4dc6-b16f-6b26bff1f2c1
Tim Hortons,4343 Wellington Rd  London ON N6E 2Z8,04/30/2024,,location.href = '/Portal/Facility/Details/f392cb0d-95ca-477a-9aa0-21b96d8686db' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/f392cb0d-95ca-477a-9aa0-21b96d8686db
Jenny's Cake Addiction,25 Dell Dr  Strathroy ON N7G 1C6,04/29/2024,,location.href = '/Portal/Facility/Details/12c74717-9d3e-4830-80f2-282eba4651e2' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/12c74717-9d3e-4830-80f2-282eba4651e2
Canadian Tire Gas Bar,1975 Dundas St  London ON N5V 4Y5,04/29/2024,,location.href = '/Portal/Facility/Details/421bd93f-5ae4-4960-b616-46d645e342c0' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/421bd93f-5ae4-4960-b616-46d645e342c0
Subway,941 Oxford St E  London ON N5Y 3K1,04/29/2024,,location.href = '/Portal/Facility/Details/e00d2b14-3021-459f-8153-50b788e9fae9' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/e00d2b14-3021-459f-8153-50b788e9fae9
Dollarama,1990 Dundas St  London ON N5V 3Z1,04/29/2024,,location.href = '/Portal/Facility/Details/11bf0d0f-5935-4101-8019-46d38e6b88cb' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/11bf0d0f-5935-4101-8019-46d38e6b88cb
BVD Convenience,9919 Glendon Dr  Komoka ON N0L 1R0,04/29/2024,,location.href = '/Portal/Facility/Details/e160bed0-981d-4061-9705-b7a3406ef09a' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/e160bed0-981d-4061-9705-b7a3406ef09a
Soprano's 241 Pizza,3-941 Oxford St E  London ON N5Y 3K1,04/29/2024,,location.href = '/Portal/Facility/Details/6eea6cc4-351f-4dfb-af7f-63b6ee3d2b72' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/6eea6cc4-351f-4dfb-af7f-63b6ee3d2b72
Ring-A-Wing,666 Wonderland Rd N  London ON N6H 4K9,04/29/2024,,location.href = '/Portal/Facility/Details/e3a7e4ea-ca83-4e68-9376-4314fd5f26f2' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/e3a7e4ea-ca83-4e68-9376-4314fd5f26f2
Mount Brydges Lions Club Den,580 Lions Park Dr  Mount Brydges ON N0L 1W0,04/29/2024,,location.href = '/Portal/Facility/Details/d55780d8-c712-4514-8ecb-ec50610501e8' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/d55780d8-c712-4514-8ecb-ec50610501e8
Pizza Hut,161 Grand Ave  London ON N6C 1M4,04/29/2024,,location.href = '/Portal/Facility/Details/b51e9f60-afac-44b6-a117-d083f73ef135' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/b51e9f60-afac-44b6-a117-d083f73ef135
Gino's Pizza,3-1631 Oxford St E  London ON N5V 2Z4,04/29/2024,,location.href = '/Portal/Facility/Details/196009be-11e9-4178-b1bd-018e5464217a' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/196009be-11e9-4178-b1bd-018e5464217a
Eastwest Bar & Grill,1205 Dundas St  London ON N5W 3A9,04/29/2024,,location.href = '/Portal/Facility/Details/bf0510d1-7fb6-4b2c-8c5c-b47ad77211d1' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/bf0510d1-7fb6-4b2c-8c5c-b47ad77211d1
Katsuya,620 Richmond St  London ON N6A 5J9,04/29/2024,,location.href = '/Portal/Facility/Details/1441bf39-1a41-466d-a087-e156dfa33297' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/1441bf39-1a41-466d-a087-e156dfa33297
Sunningdale Golf & Country Club- Halfway House,465 Sunningdale Rd W  London ON N6G 5B9,04/29/2024,,location.href = '/Portal/Facility/Details/1eb90a49-07a0-4015-b9bb-ce2fb96f2476' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/1eb90a49-07a0-4015-b9bb-ce2fb96f2476
Wonderland Fresh Convenience,8-666 Wonderland Rd N  London ON N6H 4K9,04/29/2024,,location.href = '/Portal/Facility/Details/3da943a6-efc6-4cb9-9da5-d52cfc204a2a' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/3da943a6-efc6-4cb9-9da5-d52cfc204a2a
M & M Food Market,25 Baseline Rd W  London ON N6J 1V1,04/29/2024,,location.href = '/Portal/Facility/Details/4e57d898-9185-41cf-8b10-679ea1460df9' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/4e57d898-9185-41cf-8b10-679ea1460df9
Bento Sushi - Komoka Foodland,10166 Glendon Dr  Komoka ON N0L1R0,04/29/2024,,location.href = '/Portal/Facility/Details/3c5d1f47-6fa2-4cca-a3ea-0687a301ded5' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/3c5d1f47-6fa2-4cca-a3ea-0687a301ded5
Chuck's Roadhouse Bar & Grill,6A-666 Wonderland Rd N  London ON N6H 4K9,04/29/2024,,location.href = '/Portal/Facility/Details/6ada1497-e1c7-4fdc-ad9f-21554cb1eb38' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/6ada1497-e1c7-4fdc-ad9f-21554cb1eb38
Miles Variety,1080 Richmond St  London ON N6A 3J9,04/29/2024,,location.href = '/Portal/Facility/Details/ce362c88-a12e-4eb1-8045-63a8a47d57a6' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/ce362c88-a12e-4eb1-8045-63a8a47d57a6
Komoka Foodland,10166 Glendon Dr  Komoka ON N0L 1R0,04/29/2024,,location.href = '/Portal/Facility/Details/f420d67a-6cfc-4696-be83-9422930f7bd9' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/f420d67a-6cfc-4696-be83-9422930f7bd9
Little Caesars Pizza,666 Wonderland Rd N  London ON N6H 4K9,04/29/2024,,location.href = '/Portal/Facility/Details/7adf0673-685c-4848-a4f2-d62b17e0d27b' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/7adf0673-685c-4848-a4f2-d62b17e0d27b
European Deli and Bakery,4-217 Adelaide St S  London ON N5Z 3K7,04/29/2024,,location.href = '/Portal/Facility/Details/3cef4115-9c9c-4e1d-bc89-0dab44db62e9' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/3cef4115-9c9c-4e1d-bc89-0dab44db62e9
Sunningdale Golf & Country Club Ltd.,465 Sunningdale Rd W  London ON N6G 5B9,04/29/2024,,location.href = '/Portal/Facility/Details/6813e015-a406-4138-a44d-8ac316c00572' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/6813e015-a406-4138-a44d-8ac316c00572
St. Thomas Aquinas Catholic Secondary (Chartwells),1360 Oxford St. W  London ON N6G 0L8,04/29/2024,,location.href = '/Portal/Facility/Details/5c8bcc3a-5e26-4975-a378-97e58bd5a7f4' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/5c8bcc3a-5e26-4975-a378-97e58bd5a7f4
Tim Hortons,1680 Richmond St  London ON N6G 3Y9,04/29/2024,,location.href = '/Portal/Facility/Details/2f5ff5b1-15ce-4b98-be2e-dd4562c1cd62' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/2f5ff5b1-15ce-4b98-be2e-dd4562c1cd62
Gibraltar Weekend Market - Prospector Frozen Foods,1712 Dundas St  London ON N5W 3C9,04/27/2024,,location.href = '/Portal/Facility/Details/5f4baeee-27c7-4611-97dd-a2068d8d8e63' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/5f4baeee-27c7-4611-97dd-a2068d8d8e63
Gibraltar Weekend Market - Lin's Bubble Tea,1712 Dundas St  London ON N5W 3C9,04/27/2024,,location.href = '/Portal/Facility/Details/06728e41-3fb7-4404-997d-6d4120be0eea' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/06728e41-3fb7-4404-997d-6d4120be0eea
Gibraltar Weekend Market - A Lil Slice of Heaven,1712 Dundas St  London ON N5W 3C9,04/27/2024,,location.href = '/Portal/Facility/Details/ff5fab7c-eeaf-4b27-a341-5126d0a1e2bc' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/ff5fab7c-eeaf-4b27-a341-5126d0a1e2bc
Gibraltar Weekend Market - Craklins Best Fish & Chips,1712 Dundas St  London ON N5W 3C9,04/27/2024,,location.href = '/Portal/Facility/Details/5b558206-0968-4d5f-9e5c-10f5ea348d21' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/5b558206-0968-4d5f-9e5c-10f5ea348d21
Gibraltar Weekend Market - Mr. Burrito Latino,1712 Dundas St  London ON N5W 3C9,04/27/2024,,location.href = '/Portal/Facility/Details/89ef7880-4993-4bf5-8459-263aa6ff2872' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/89ef7880-4993-4bf5-8459-263aa6ff2872
Crabby Joe's Bar & Grill,1449 Dundas St E  London ON N5W 3B8,04/26/2024,,location.href = '/Portal/Facility/Details/aeb11c84-ac86-4068-b1ef-fb9bd0ebff2c' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/aeb11c84-ac86-4068-b1ef-fb9bd0ebff2c
Rose's Tree of Life Caribbean Delight & Fish & Chips Restaurant,1225 Wonderland Rd N  London ON N6G 2S1,04/26/2024,,location.href = '/Portal/Facility/Details/4ec2b6ea-1e65-47fe-b8b9-661a9b9d425e' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/4ec2b6ea-1e65-47fe-b8b9-661a9b9d425e
The Better Blend Smoothie Bar Inc,1225 Wonderland Rd. N  London ON N6G 2V9,04/26/2024,,location.href = '/Portal/Facility/Details/0d5264a5-89f4-440d-b994-73dea02d2722' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/0d5264a5-89f4-440d-b994-73dea02d2722
Domino's Pizza,6-100 Wharncliffe Rd S  London ON N6J 2K3,04/26/2024,,location.href = '/Portal/Facility/Details/2fe9880c-02e2-4361-92ba-14d6b91269e2' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/2fe9880c-02e2-4361-92ba-14d6b91269e2
Dollarama,39 Front St  Strathroy ON N7G 1Y5,04/26/2024,,location.href = '/Portal/Facility/Details/e538d871-a9d1-4e50-85d1-2271486dbcad' ,DineSafe,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/e538d871-a9d1-4e50-85d1-2271486dbcad
